tech_id,dataset,sector_name,subsector,item_no,tech_name,tech_description
newgrowth::4::가::1),newgrowth,콘텐츠,가. 실감형 콘텐츠,1),가상현실(VR) 콘텐츠 기술,사용자의 오감을 가상공간으로 확장ㆍ공유함으로써 환경적 제약에 의해 직접 경험하지 못하는 상황을 간접 체험할 수 있게 하는 가상현실(Virtual Reality) 콘텐츠 제작 기술
newgrowth::4::가::2),newgrowth,콘텐츠,가. 실감형 콘텐츠,2),증강현실(AR) 콘텐츠 기술,디지털 콘텐츠를 현실 공간과 사물에 혼합시킴으로써 사용자에게 보다 많은 체험 서비스를 제공하게 하는 증강현실(Augmented Reality) 콘텐츠 제작 기술
newgrowth::4::가::3),newgrowth,콘텐츠,가. 실감형 콘텐츠,3),오감체험형 4D 콘텐츠 제작기술,기존의 3D 입체영상 콘텐츠에 증강현실(Augmented Reality) 영상기술과 시각ㆍ후각ㆍ청각ㆍ미각ㆍ촉각 등의 오감체험을 통한 양방향성의 상호작용 기술이 융합된 4D 콘텐츠 제작기술
newgrowth::4::가::4),newgrowth,콘텐츠,가. 실감형 콘텐츠,4),디지털 홀로그램(Hologram) 콘텐츠 제작기술,"물체 형태에 대한 완벽한 3차원 정보를 조명광 파면(wavefront)의 간섭무늬 형태로 담고 있는 홀로그램 프린지(fringe) 패턴을 생성하고, 디지털화된 처리를 통해 3차원 영상으로 재현, 편집, 정합 또는 공간인식을 하는 기술"
newgrowth::4::나::1),newgrowth,콘텐츠,나. 문화콘텐츠,1),게임 콘텐츠 제작기술,"게임엔진·게임저작도구·게임 UI(User Interface)·게임 운영환경 등의 개발 또는 기능 개선을 통해 게임 콘텐츠를 기획ㆍ제작하거나 서비스를 제공하는 기술, 실시간 데이터를 활용한 시ㆍ청각화 관련 기술, 유저와의 상호작용을 위한 데이터 처리 및 시나리오 구현 기술, 학습ㆍ의료 등 분야의 기능성 게임 모델 개발 등 게임 콘텐츠 응용 기술"
newgrowth::4::나::2),newgrowth,콘텐츠,나. 문화콘텐츠,2),영화ㆍ방송 콘텐츠 제작기술,영화ㆍ방송 콘텐츠의 기획ㆍ제작을 위한 사전시각화(pre-visualization) 및 그래픽 품질 개선 기술
newgrowth::4::나::3),newgrowth,콘텐츠,나. 문화콘텐츠,3),애니메이션 콘텐츠 제작기술,"애니메이션 콘텐츠의 기획ㆍ제작을 위한 대용량 디지털 데이터 처리 관리 기술, AI 머신러닝을 통한 애니메이션ㆍ에셋 자동생산 기술, 게임엔진을 활용한 실시간 제작기술, 버추얼 프로덕션(virtual production) 기술"
newgrowth::4::나::4),newgrowth,콘텐츠,나. 문화콘텐츠,4),만화ㆍ웹툰 콘텐츠 제작기술,"만화ㆍ웹툰 콘텐츠의 기획ㆍ제작 및 서비스를 위한 디지털 만화 저작도구 개발 기술, 만화 멀티미디어 콘텐츠 제작 기술, 플랫폼 구축 및 서비스를 위한 저작권 보호 기술"
