tech_id,dataset,sector_name,subsector,item_no,tech_name,tech_description
newgrowth::1::가::4),newgrowth,미래형자동차,가. 자율 주행차,4),자율주행 기록 및 사고원인 규명 기술,자율주행 운행 기록과 사고시점 전후의 자동차 내외부 정보를 저장하고 분석하는 기술
newgrowth::1::나::3),newgrowth,미래형자동차,나. 전기 구동차,3),전기차 초고속ㆍ고효율 무선충전 기술,"전기동력 자동차와 관련하여 감전위험이 없는 비접촉 무선 전력전송 방식(자기유도, 자기공명, 전자기파)으로 배터리를 충전하기 위한 전력 전송효율 90% 이상의 초고속 고효율 무선충전시스템 및 무선충전 핵심모듈(급전 인버터, 집전 픽업구조, 레귤레이터) 기술"
newgrowth::1::나::4),newgrowth,미래형자동차,나. 전기 구동차,4),하이브리드자동차의 구동시스템 고효율화 기술,"하이브리드자동차(HEV)의 연비 향상, 배출가스 감축 등을 위해 엔진 열효율(공급된 연료에너지에 대해 출력되는 유효일의 비를 말한다)을 45% 이상으로 구현하기 위한 하이브리드 구동시스템 고효율화 기술"
