tech_id,dataset,sector_name,subsector,item_no,tech_name,tech_description
newgrowth::12::가::1),newgrowth,차세대소프트웨어(SW) 및 보안,가. 기반 소프트웨어(SW),1),융합서비스ㆍ제품의 소프트웨어 내재화 기술,"기존 서비스 및 제품에 지능화ㆍ자동화 등을 위한 지능형 소프트웨어 기술을 적용하여 신규 서비스를 창출하거나 새로운 기능을 추가하고, 신뢰성ㆍ고속성ㆍ실시간성ㆍ저전력 등을 통해 10% 이상 기능을 향상시키는 기술"
newgrowth::12::가::2),newgrowth,차세대소프트웨어(SW) 및 보안,가. 기반 소프트웨어(SW),2),이기종(異機種) 멀티코아 소프트웨어 기술,"중앙연산장치(CPU)에 보조연산장치ㆍ연산가속장치 등의 여러 컴퓨팅 장치를 결합하여 고효율ㆍ고성능(전력소모량 등 비용 효율성을 10배 이상 개선하거나, 연산속도를 10배 이상 개선한 것을 말한다)을 구현하는 소프트웨어 기술"
newgrowth::12::가::3),newgrowth,차세대소프트웨어(SW) 및 보안,가. 기반 소프트웨어(SW),3),분산병렬 소프트웨어 기술,"대규모 데이터 연산 처리를 위해 분산 컴퓨팅 환경에서 10,000개 이상의 노드(센서, 컴퓨터 등) 지원을 대규모로 분산하는 소프트웨어 기술 및 100개 이상의 병렬성에서 99.999%의 신뢰성을 보장하는 고신뢰 병렬 소프트웨어 기술"
newgrowth::12::가::4),newgrowth,차세대소프트웨어(SW) 및 보안,가. 기반 소프트웨어(SW),4),차세대 메모리 기반 시스템 소프트웨어 기술,기존 메모리와 다른 대용량 비휘발성 메모리를 활용하여 컴퓨터ㆍ서버ㆍ휴대단말기 등의 컴퓨팅 속도를 20% 이상 개선하거나 메모리 용량을 4배 이상 증대시키는 시스템 소프트웨어 기술
newgrowth::12::가::5),newgrowth,차세대소프트웨어(SW) 및 보안,가. 기반 소프트웨어(SW),5),컴퓨터 이용 설계 및 공학적 분석 소프트웨어 기술,제품 생산에 있어 개념 설계 단계 이후 제작도면 작성과 작성된 도면의 제품 성능 및 품질 검토를 수행하는 소프트웨어 기술
newgrowth::12::나::1),newgrowth,차세대소프트웨어(SW) 및 보안,나. 융합보안,1),사이버 위협 인텔리전스(Intelligence) 대응기술,"인적 자원으로 불가능한 대규모 사이버 공격의 분석 또는 대응을 위해 지능정보기술(인공지능, 빅데이터 등)을 활용한 사이버 위협 자동분석ㆍ대응 기술"
newgrowth::12::나::2),newgrowth,차세대소프트웨어(SW) 및 보안,나. 융합보안,2),휴먼바이오(human-bio)ㆍ영상 기반 안전ㆍ감시ㆍ보안기술,"인간의 신체적 특성(지문, 얼굴, 홍채, 정맥 등)과 행동적 특성(서명, 음성, 걸음걸이 등)을 이용한 신원확인 기술과 영상정보를 이용하여 특정 객체(사람ㆍ사물)나 이상상황(범죄ㆍ사고 등)을 자동으로 인지하는 기술"
newgrowth::12::나::3),newgrowth,차세대소프트웨어(SW) 및 보안,나. 융합보안,3),미래컴퓨팅 응용ㆍ보안기술,양자컴퓨팅(quantum computing) 특성에 따른 고속의 데이터ㆍ통신 암호화 및 암호해독방지 기술
newgrowth::12::나::4),newgrowth,차세대소프트웨어(SW) 및 보안,나. 융합보안,4),융합서비스ㆍ제품의 보안내재화 기술,"사이버 공격으로 인명이나 재산상의 손실을 끼칠 수 있는 정보통신기술(ICT) 융합서비스ㆍ제품(자율주행차, 인공심박기, 도어락 등)에 탑재될 수 있도록 저전력ㆍ경량화되면서도 외부 공격(탈취, 파괴, 위ㆍ변조 등)에 의해 정보가 유출ㆍ변경되는 것을 방지ㆍ대응하기 위한 기술"
