tech_id,dataset,sector_name,subsector,item_no,tech_name,tech_description
strategic::3::::가.,strategic,백신,,가.,방어 항원 등 스크리닝 및 제조기술,"각종 질환을 치료하거나(치료용 백신) 예방하기 위해 (예방용 백신) 면역기전을 이용하여 인체질환을 방어하는 물질(항원, 핵산, 바이러스벡터 등)을 스크리닝하고 개발·제조하는 기술 및 이를 적용한 백신을 제조하는 기술(대량생산 공정설계 기술 포함)"
strategic::3::::나.,strategic,백신,,나.,비임상 시험 기술,세포·동물 모델로 백신 후보물질의 안전성·유효성을 평가하는 비임상 시험 기술
strategic::3::::다.,strategic,백신,,다.,임상약리시험 평가기술(임상 1상 시험),"백신 후보물질의 초기 안정성, 내약성, 약동학적, 약력학적 평가 및 약물대사와 상호작용 평가, 초기 잠재적 치료 효과 추정을 위한 임상약리시험 평가기술"
strategic::3::::라.,strategic,백신,,라.,치료적 탐색 임상평가기술(임상2상 시험),백신 후보물질의 용량 및 투여기간 추정 등 치료적 유용성 탐색을 위한 평가기술
strategic::3::::마.,strategic,백신,,마.,치료적 확증 임상평가기술(임상3상 시험),"백신 후보물질의 안전성, 유효성 등 치료적 확증을 위한 평가기술"
strategic::3::::바.,strategic,백신,,바.,원료 및 원부자재 등 개발·제조 기술,"백신 개발·제조에 필요한 원료 및 원부자재(필터, 레진, 버퍼, 배양배지 등) 또는 백신의 효능을 증가시키는 물질(면역보조제)을 개발·제조하는 기술"
strategic::3::::사.,strategic,백신,,사.,생산장비 개발·제조 기술,"백신 및 백신 원료·원부자재(필터, 레진, 버퍼, 배양배지 등) 생산에 필요한 장비를 개발·제조하는 기술"
